基隆舊站逐時潮位觀測資料
位置：基隆港
儀器型式：
基準面相對KP:
yyyymmddhh：西元年月日時
height：潮位
潮高單位：公厘；潮高空白或時間不連續，表示缺觀測資料。
時間：民國69年1月－民國69年12月
**************************
*st    yyyymmddhh height
1512   1980010100   430 Q
1512   1980010101   430 Q
1512   1980010102   340 Q
1512   1980010103   340 Q
1512   1980010104   390 Q
1512   1980010105   560 Q
1512   1980010106   750 Q
1512   1980010107   930 Q
1512   1980010108  1120 Q
1512   1980010109  1240 Q
1512   1980010110  1270 Q
1512   1980010111  1240 Q
1512   1980010112  1150 Q
1512   1980010113  1050 Q
1512   1980010114   960 Q
1512   1980010115   920 Q
1512   1980010116   900 Q
1512   1980010117   920 Q
1512   1980010118   980 Q
1512   1980010119  1030 Q
1512   1980010120  1030 Q
1512   1980010121   990 Q
1512   1980010122   870 Q
1512   1980010123   730 Q
1512   1980010200   530 Q
1512   1980010201   350 Q
1512   1980010202   210 Q
1512   1980010203   150 Q
1512   1980010204   180 Q
1512   1980010205   310 Q
1512   1980010206   480 Q
1512   1980010207   680 Q
1512   1980010208   880 Q
1512   1980010209  1050 Q
1512   1980010210  1150 Q
1512   1980010211  1180 Q
1512   1980010212  1140 Q
1512   1980010213  1060 Q
1512   1980010214   970 Q
1512   1980010215   930 Q
1512   1980010216   930 Q
1512   1980010217   950 Q
1512   1980010218   990 Q
1512   1980010219  1070 Q
1512   1980010220  1100 Q
1512   1980010221  1080 Q
1512   1980010222  1020 Q
1512   1980010223   890 Q
1512   1980010300   710 Q
1512   1980010301   510 Q
1512   1980010302   370 Q
1512   1980010303   290 Q
1512   1980010304   290 Q
1512   1980010305   380 Q
1512   1980010306   550 Q
1512   1980010307   740 Q
1512   1980010308   910 Q
1512   1980010309  1090 Q
1512   1980010310  1220 Q
1512   1980010311  1280 Q
1512   1980010312  1290 Q
1512   1980010313  1200 Q
1512   1980010314  1100 Q
1512   1980010315  1000 Q
1512   1980010316   970 Q
1512   1980010317   960 Q
1512   1980010318   990 Q
1512   1980010319  1060 Q
1512   1980010320  1100 Q
1512   1980010321  1120 Q
1512   1980010322  1070 Q
1512   1980010323   960 Q
1512   1980010400   820 Q
1512   1980010401   620 Q
1512   1980010402   440 Q
1512   1980010403   310 Q
1512   1980010404   250 Q
1512   1980010405   290 Q
1512   1980010406   400 Q
1512   1980010407   580 Q
1512   1980010408   740 Q
1512   1980010409   970 Q
1512   1980010410  1110 Q
1512   1980010411  1190 Q
1512   1980010412  1230 Q
1512   1980010413  1180 Q
1512   1980010414  1100 Q
1512   1980010415   990 Q
1512   1980010416   950 Q
1512   1980010417   930 Q
1512   1980010418   930 Q
1512   1980010419   960 Q
1512   1980010420  1030 Q
1512   1980010421  1080 Q
